classifier,impl,acc_mean,acc_std,f1_mean,f1_std,time_s,accuracy,macro_f1
DecisionTree (depth=8),minilearn,0.3847,0.0221,0.3815,0.0255,63.74,0.3847 ± 0.0221,0.3815 ± 0.0255
DecisionTree (depth=8),sklearn,0.3925,0.0349,0.3896,0.0371,0.4,0.3925 ± 0.0349,0.3896 ± 0.0371
GaussianNB,minilearn,0.5134,0.0423,0.4974,0.0424,0.02,0.5134 ± 0.0423,0.4974 ± 0.0424
GaussianNB,sklearn,0.5134,0.0423,0.4974,0.0424,0.03,0.5134 ± 0.0423,0.4974 ± 0.0424
KNN (k=5),minilearn,0.5473,0.0205,0.519,0.0276,0.07,0.5473 ± 0.0205,0.5190 ± 0.0276
KNN (k=5),sklearn,0.5473,0.0205,0.519,0.0276,1.45,0.5473 ± 0.0205,0.5190 ± 0.0276
LogisticRegression,minilearn,0.6195,0.0289,0.6108,0.0311,6.25,0.6195 ± 0.0289,0.6108 ± 0.0311
LogisticRegression,sklearn,0.6208,0.0297,0.6137,0.0324,0.3,0.6208 ± 0.0297,0.6137 ± 0.0324
